위도,경도,ref,name,operator,source,source:date,public_transport,bus,highway
34.897382,128.410142,5001,영신전원빌라,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.897137,128.410281,5002,영신전원빌라,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.901565,128.42117,5003,손덕마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.901559,128.421109,5004,손덕마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.910661,128.417769,5005,창포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.910721,128.417721,5006,창포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.914096,128.421235,5007,하늘바다,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.91657,128.426991,5008,구집,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.91664,128.426997,5009,구집마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.929902,128.43131,5010,입도마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.929896,128.43142,5011,입도마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.935399,128.426571,5012,범우개,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.937902,128.423494,5013,예포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.940055,128.417654,5014,호암마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.940025,128.417576,5015,호암마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.942389,128.415588,5016,주영안정빌라,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.942393,128.415496,5017,주영안정빌라,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.94808,128.411586,5018,안정마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.94798,128.411464,5019,안정마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.955845,128.41194,5020,팔복주유소,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.957516,128.41166,5021,임외마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.957945,128.413194,5100,임외사거리,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.957726,128.417348,5023,임내마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.957596,128.417358,5024,임내마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.957676,128.421963,5025,성동조선,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.957565,128.422045,5026,성동조선,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.868685,128.469241,3112,해간도펜션,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.959874,128.428056,5027,황리임중,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.960018,128.403844,5028,무량촌,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.960327,128.409332,5029,무량촌입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.958316,128.411939,5030,임외사거리,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.946614,128.409935,5031,성우오스타,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.926511,128.426699,5033,적덕마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.926672,128.426783,5034,적덕마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.917488,128.415444,5035,수직마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.917446,128.415606,5036,수직마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.915367,128.411655,5037,대촌마을입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.915356,128.41194,5038,대촌마을입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.91692,128.409862,5039,대촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.916977,128.409926,5040,대촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.924006,128.403309,5041,천개마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.909153,128.409632,5042,전두마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.908978,128.409661,5043,전두마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903325,128.406073,5044,노산,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.899919,128.407131,5045,광도초등학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.898641,128.407613,5046,광도농협,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.89861,128.407695,5047,광도농협,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.870353,128.416427,5048,원문마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.877074,128.41345,5049,농업기술센터입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.877227,128.413172,5050,농업기술센터입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.8776,128.414565,5051,죽림주공아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.877406,128.414892,5052,더팰리스6차,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.882637,128.416621,5053,한국전력,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.882985,128.415512,5054,주영팰리스,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.885075,128.417443,5055,시외터미널,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.884797,128.417455,5056,시외버스터미널,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.885417,128.41717,5057,시외버스터미널,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.882741,128.418619,5058,통영경찰서,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.882778,128.418799,5059,통영경찰서,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.879372,128.41793,5060,한선2차아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.879409,128.418106,5061,푸르지오1차아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.877679,128.417742,5062,한선1차아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.877701,128.417581,5063,한선3차아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.878867,128.412753,5064,향교마을입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.879349,128.412449,5065,향교마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.881589,128.413262,5066,죽림마을입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.882963,128.409976,5069,양지마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.883001,128.40989,5070,죽림마을회관,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.886733,128.39962,5071,홀리골마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.887652,128.416632,5072,조암마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.887623,128.416814,5073,조암마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.893058,128.415416,5074,신세계자동차학원,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.894407,128.408687,5075,노산삼거리,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.901807,128.395854,5077,상노산,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.902017,128.395373,5078,상노산,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903256,128.393599,4001,한퇴마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.910213,128.387479,4002,한퇴마을종점,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903561,128.392974,4003,한퇴마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903785,128.388682,4004,백동전원빌라,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.900811,128.378926,4005,덕치마을입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.900976,128.378763,4006,덕치마을입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.901116,128.376751,4007,덕치마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.90099,128.376764,4008,덕치마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903555,128.365416,4009,지법마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903684,128.365437,4010,지법마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.914503,128.35895,4011,노전마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.914813,128.358795,4012,노전마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.937365,128.370435,4013,사계마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.938614,128.356809,4014,오산마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.934835,128.349496,4015,평촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.934518,128.349871,4016,평촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.933532,128.35215,4017,원산종점,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.933644,128.352224,4018,원산종점,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.93291,128.353584,4019,도원초등학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.932806,128.354216,4020,도원초등학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.931345,128.357183,4021,원동마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903484,128.343132,4023,오륜동마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903426,128.343109,4024,오륜동마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.906858,128.334411,4025,마상촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.906816,128.334363,4026,마상촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.905512,128.320912,4027,가오치마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.905569,128.320906,4028,가오치마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.907047,128.31261,4031,가오치여객선터미널입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.906375,128.307309,4032,유촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.9064,128.307634,4033,유촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.901048,128.306807,4034,서촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.901088,128.306855,4035,서촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.896619,128.307805,4036,동촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.896571,128.307832,4037,동촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.894911,128.309554,4038,저산,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.885907,128.32888,4039,수월마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.885918,128.328948,4040,수월리,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.883059,128.333461,4041,상양지마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.88301,128.333484,4042,상양지마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.882508,128.33964,4043,하양지마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.882557,128.33958,4044,하양지마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.887362,128.343521,4045,구촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.887412,128.343481,4046,구촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.890337,128.349254,4047,범골마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.890524,128.349243,4048,범골마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903089,128.359374,4049,도산종점,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.902914,128.36086,4050,도산면사무소,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903005,128.361052,4051,도산면사무소,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.902965,128.36293,4052,도산농협,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.903219,128.363242,4053,도산농협,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.885348,128.371743,4055,낭계마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.886127,128.371062,4056,낭계마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.880776,128.35671,4057,잠포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.87574,128.371307,4059,분지포,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.88986,128.380895,5079,좌진마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.889618,128.381055,5080,좌진마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.882489,128.384963,5081,죽전마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.882532,128.385,5082,죽전마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.877964,128.388564,5083,용호마을입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.878026,128.388541,5084,용호마을입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.872989,128.393095,5085,용호마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.87298,128.393214,5086,용호마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.86819,128.405989,5087,마구촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.868147,128.405938,5088,마구촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.868334,128.412329,5089,애조마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.868378,128.412315,5090,애조마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.870127,128.421151,3001,원문마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.871029,128.424133,3002,기호마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.871048,128.424009,3003,기호마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.878266,128.433588,3004,대안마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.878271,128.433522,3005,대안마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.88619,128.43578,3006,신리마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.886103,128.435789,3007,신리마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.88777,128.444048,3008,음촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.88772,128.444031,3009,음촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.892813,128.444155,3010,대방포,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.889374,128.445314,3011,양촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.889431,128.445348,3012,양촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.887389,128.447,3013,양촌마을입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.887382,128.447054,3014,양촌마을입구,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.886764,128.453644,3015,동림파크,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.8877,128.465888,3017,충렬여중고,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.887749,128.46574,3018,충렬여중고,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.881256,128.465808,3019,한려운수,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.875364,128.465965,3020,연기삼거리,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.872413,128.467164,3021,연기,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.872336,128.467129,3022,연기,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.884751,128.468518,3024,신촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.884884,128.468476,3025,신촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.887789,128.454085,3026,적촌마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.871176,128.415675,5091,한창그린파크,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.869119,128.41639,1501,원문고개,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.863746,128.421043,1502,새통영병원,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.863665,128.420888,1503,새통영병원,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.860728,128.405684,1101,소포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.860468,128.405574,1102,소포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.855892,128.399106,1103,대평마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.85576,128.398992,1104,대평마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.858234,128.395399,1105,평림축구장,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.858264,128.39546,1106,평림축구장,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.854939,128.385254,1601,우포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.855216,128.383996,1602,우포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.849852,128.372849,1603,갈목마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.849879,128.372899,1604,갈목마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.845584,128.384256,1605,민양마을윗길,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.84411,128.385132,1606,민양마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.844171,128.385129,1607,민양마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.843906,128.381379,1627,인평종점,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.843993,128.383951,1609,민양마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.835234,128.394016,1611,국치마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.836799,128.401647,1612,해양과학대학,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.836875,128.401763,1614,해양과학대학,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.838942,128.400576,1615,도천동주민센터,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.840141,128.399441,1616,한실아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.840101,128.399166,1617,한실아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.840779,128.397278,1618,충무중학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.840721,128.397219,1619,충무중학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.84149,128.396385,1620,인평주공아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.841694,128.396304,1621,충무여자중학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
