업소명,소재지도로명주소,전화번호,위도,경도,데이터기준일자
바른눈안경,"대구광역시 북구 연경중앙로 5, 중앙플라자 1층 105호, 106호 (연경동)",000-000-0000,35.92114336,128.6037614,2021-09-07
으뜸50안경 경대북문점,"대구광역시 북구 대학로 89, 2층 (산격동)",053-957-5050,35.8928589,128.6093281,2021-09-07
렌즈미 대구칠곡점,"대구광역시 북구 동천로 133, 1층 106호 (동천동)",053-312-7077,35.88820224,128.592523,2021-09-07
다비치안경원 칠곡3지구점,"대구광역시 북구 학정로 435, 1층 (동천동)",053-311-6177,35.89974464,128.6093921,2021-09-07
으뜸50안경 칠곡태전점,"대구광역시 북구 칠곡중앙대로69길 2, 1층 (태전동)",053-323-1150,35.94237815,128.5630907,2021-09-07
이태리안경,"대구광역시 북구 팔달로 185, 1층 (노원동2가)",053-352-1080,35.88901082,128.6145155,2021-09-07
룩스토어(Look Store) 구암점,"대구광역시 북구 학정로 440, 1층 102호 (구암동)",053-325-8333,35.90047193,128.5846275,2021-09-07
명신안경/콘택트,"대구광역시 북구 동북로65길 3, 1층 (복현동)",053-955-7525,35.89280408,128.5672579,2021-09-07
으뜸플러스안경(칠곡점),"대구광역시 북구 학정로 429, 로데오프라자 2층 202호 (동천동)",053-312-1579,35.89506005,128.6177526,2021-09-07
자이스안경,"대구광역시 북구 성북로 36, 2층 216,217,218호 (침산동)",053-353-7670,35.93186663,128.5480216,2021-09-07
경대구내안경원,"대구광역시 북구 대학로 80, 경북대학교 복지관 1층 (산격동)",053-944-3372,35.90138678,128.5965099,2021-09-07
유니안경원,"대구광역시 북구 호국로57길 6, 106호 (서변동)",053-357-8831,35.95221745,128.5675504,2021-09-07
코스트코안경,"대구광역시 북구 검단로 97, 코스트코코리아 지하2층 (산격동)",053-352-5759,35.89873158,128.6118657,2021-09-07
안경매니져 삼성창조캠퍼스점,"대구광역시 북구 호암로 51 (침산동, 삼성창조경제단지 파크몰 B동 6호)",053-356-7080,35.92450818,128.5468626,2021-09-07
아이홀릭 태전점,대구광역시 북구 태전로 21 (태전동),000-000-0000,35.94241808,128.5584136,2021-09-07
더봄안경,"대구광역시 북구 팔거천동로 206, 104호 (동천동)",053-323-8205,35.89524156,128.6175103,2021-09-07
렌즈미 대구칠곡점,"대구광역시 북구 동천로 132, 101호 (동천동, 강북 SKY)",053-312-7077,35.93230425,128.5489001,2021-09-07
몬스터쿠키,"대구광역시 북구 산격로6길 9, 1층 (산격동)",053-294-8657,35.89265341,128.6089721,2021-09-07
왕눈이안경타운,"대구광역시 북구 검단로 15, 1~2층 (산격동)",053-262-7670,35.94364884,128.5612044,2021-09-07
아프리카안경,"대구광역시 북구 태평로 161, 5층 (칠성동2가, 롯데백화점 대구역)",053-660-3895,35.94336064,128.561158,2021-09-07
라디오아이즈,"대구광역시 북구 대학로23길 37-1, 1층 (산격동)",053-942-5888,35.94303654,128.5610781,2021-09-07
아이데코안경콘택트,"대구광역시 북구 침산로21길 23, 상가 105동 102호 (칠성동2가, 침산1차푸르지오아파트)",000-000-0000,35.94213863,128.5603513,2021-09-07
아이젠트리금호점 안경원,"대구광역시 북구 한강로4길 9, 1층 (사수동)",053-313-3949,35.94376971,128.5642533,2021-09-07
오렌즈대구칠곡점,"대구광역시 북구 동암로 110, 102호 (동천동, 빅타운)",053-314-9444,35.89143522,128.6250017,2021-09-07
룩스토어 동천점,"대구광역시 북구 동천로23길 2, 1층 (동천동)",053-323-6697,35.89150373,128.625689,2021-09-07
아이젠트리 신암점,대구광역시 북구 신암로 75 (대현동),053-955-7007,35.89839403,128.6126607,2021-09-07
무극안경콘택트칠성점,대구광역시 북구 신암로 101-2 (대현동),053-944-1122,35.89268519,128.6062585,2021-09-07
오렌즈 경북대점,대구광역시 북구 대학로23길 35 (산격동),053-943-0125,35.9002088,128.5812801,2021-09-07
눈안경원,"대구광역시 북구 연암로 190, 1층 (산격동)",000-000-0000,35.94355794,128.5632875,2021-09-07
아이젠트리,대구광역시 북구 동북로 297 (복현동),053-954-3130,35.93199703,128.5568773,2021-09-07
칠곡안경원,대구광역시 북구 동천로 37 (동천동),053-321-0088,35.8800717,128.6106033,2021-09-07
비쥬얼쇼크,대구광역시 북구 대학로 105 (산격동),053-956-1101,35.8975604,128.5956614,2021-09-07
라디오아이즈,대구광역시 북구 동천로 136 (동천동),053-314-8866,35.92217129,128.5964779,2021-09-07
고고고안경,대구광역시 북구 노원로 45 (노원동3가),053-356-7890,35.88100459,128.5825349,2021-09-07
다비치안경 복현오거리점,대구광역시 북구 동북로 178 (산격동),053-956-7007,35.9291291,128.5474818,2021-09-07
자이스비전센터,"대구광역시 북구 성북로 36, 침산테라스스퀘어 2층 216~218호 (침산동)",053-355-9670,35.90952446,128.6163363,2021-09-07
안경매니져 복현점,"대구광역시 북구 복현로 130, 상가동 105호 (복현동, 복현3차서한이다음)",053-942-9009,35.89427509,128.6108787,2021-09-07
다비치안경원,대구광역시 북구 칠곡중앙대로 319 (태전동),053-311-2113,35.94297762,128.5504705,2021-09-07
안경동아리,대구광역시 북구 산격로6길 29 (산격동),000-000-0000,35.88891923,128.5691907,2021-09-07
안경명가복현점,대구광역시 북구 공항로 71 (복현동),053-381-8856,35.90077421,128.5836327,2021-09-07
오케이포인트아이안경콘택트(태전점),대구광역시 북구 학정로 46 (태전동),000-000-0000,35.89021809,128.583976,2021-09-07
안경공장 아이데코안경,대구광역시 북구 칠곡중앙대로 281 (태전동),053-313-2800,35.89931325,128.5782271,2021-09-07
1001동변점안경원,대구광역시 북구 동변로18길 2 (동변동),053-939-1001,35.88522335,128.5897872,2021-09-07
제일밝은안경콘택트,"대구광역시 북구 옥산로17길 50 (침산동, 침산제일아파트 101동 상가 4호 1층)",000-000-0000,35.88820427,128.5902857,2021-09-07
윤안경(2호점),대구광역시 북구 동북로 163 (산격동),053-384-0767,35.94484497,128.5559701,2021-09-07
무극안경(풍운점),대구광역시 북구 노원로 195 (침산동),053-341-8150,35.92504935,128.5467777,2021-09-07
채널아이안경,대구광역시 북구 학정로 39 (태전동),053-313-2389,35.88841456,128.589678,2021-09-07
아이클릭 안경콘택트,대구광역시 북구 산격로 98 (산격동),053-942-6585,35.89424381,128.6187321,2021-09-07
시연안경원,대구광역시 북구 침산남로 134 (침산동),053-351-0136,35.94330564,128.5632746,2021-09-07
아이엔지(ING)안경원,대구광역시 북구 노원로 220 (침산동),053-555-3627,35.94401442,128.5620493,2021-09-07
안경원시연원,"대구광역시 북구 영송로 47 (태전동, 대구과학대학 복지관)",053-326-0100,35.88541335,128.5878061,2021-09-07
로데오안경원,대구광역시 북구 동천로 128 (동천동),000-000-0000,35.90089709,128.5824594,2021-09-07
글라스스토리 안경원,대구광역시 북구 칠곡중앙대로 403 (태전동),053-314-3148,35.92154073,128.5964067,2021-09-07
쇼박스안경원,대구광역시 북구 노원로 167 (노원동3가),053-355-1080,35.90029486,128.5839726,2021-09-07
눈플러스안경콘택트,대구광역시 북구 학남로3길 39 (학정동),053-358-2207,35.89268248,128.6226079,2021-09-07
씨채널안경점 동천점,대구광역시 북구 학정로 431 (동천동),053-314-0500,35.87850431,128.6086531,2021-09-07
아이젠트리 침산점,"대구광역시 북구 침산로 158 (침산동, 건영하이츠)",053-353-3143,35.89041898,128.5908006,2021-09-07
제누네안경,대구광역시 북구 칠성로 102 (칠성동2가),000-000-0000,35.89607951,128.5145534,2021-09-07
좋은안경원,대구광역시 북구 칠곡중앙대로 411 (태전동),053-313-3143,35.88027798,128.6108042,2021-09-07
무극안경콘택트 동천점,대구광역시 북구 구암로 147 (동천동),053-313-5551,35.90009935,128.6087634,2021-09-07
1001안경콘택트 침산점,대구광역시 북구 침산남로 153 (침산동),053-351-2445,35.89853815,128.6073667,2021-09-07
밝은빛안경원,대구광역시 북구 서변로 71 (서변동),053-958-1188,35.9052197,128.6103648,2021-09-07
아름다운안경콘택트 칠곡점,대구광역시 북구 동암로 102 (동천동),053-324-4004,35.931039,128.547923,2021-09-07
이편안안경콘택트,대구광역시 북구 동변로14길 1 (동변동),053-954-2229,35.93719869,128.5488343,2021-09-07
씨채널 안경원,"대구광역시 북구 침산남로 130 (침산동, 푸르지오 107/103)",053-351-0444,35.88148035,128.5957622,2021-09-07
안경아이파크백화점,대구광역시 북구 구암로 83-4 (읍내동),053-326-3008,35.92216621,128.5445637,2021-09-07
아이파크안경콘택트,대구광역시 북구 칠곡중앙대로 395 (태전동),053-326-3003,35.89378209,128.6103432,2021-09-07
안경아울렛,대구광역시 북구 노원로 196 (침산동),053-341-3007,35.87588137,128.5961189,2021-09-07
침산가톨릭안경원,대구광역시 북구 침산로 138 (침산동),053-359-1110,35.92100459,128.5463065,2021-09-07
강북안경원,"대구광역시 북구 학정로 421 (동천동, 일도프라자 107)",053-323-0760,35.89262913,128.6084291,2021-09-07
안경찾기,대구광역시 북구 경대로 37 (대현동),053-942-5292,35.90156324,128.6185898,2021-09-07
아이마트안경콘텍트,대구광역시 북구 서변로 65 (서변동),053-954-2235,35.88368751,128.5959781,2021-09-07
비젼안경원,"대구광역시 북구 유통단지로8길 121-16, 2층 208호 (산격동)",053-794-6565,35.89935982,128.6228818,2021-09-07
경북안경원,대구광역시 북구 노원로 226 (침산동),053-959-0052,35.89253628,128.6212553,2021-09-07
아카데미콘택트안경,"대구광역시 북구 대학로 97, 1층 (산격동)",053-959-0195,35.89966631,128.5816306,2021-09-07
팔레스안경원,대구광역시 북구 칠곡중앙대로 404 (태전동),053-323-9692,35.93273234,128.5498895,2021-09-07
피플안경원,대구광역시 북구 칠곡중앙대로 355 (태전동),053-325-5995,35.92924963,128.5427839,2021-09-07
스펙트럼안경원,"대구광역시 북구 침산로 93 (칠성동2가, 스펙트럼시티 305호)",053-213-2305,35.88489474,128.6139409,2021-09-07
1001안경원경대점,대구광역시 북구 대학로 85 (산격동),053-958-1002,35.90005804,128.6150885,2021-09-07
시호비젼칠곡홈플러스안경원,"대구광역시 북구 동암로12길 8 (동천동, 칠곡홈플러스 1층)",053-324-8440,35.8992904,128.6100976,2021-09-07
1001안경콘택트산격점,대구광역시 북구 동북로 154 (산격동),053-954-1001,35.89299511,128.6091298,2021-09-07
세꼴리안경원,대구광역시 북구 노원로 215 (침산동),053-354-8496,35.9439295,128.5628579,2021-09-07
아이클릭안경원,"대구광역시 북구 유통단지로14길 22, 의류관동 1181호 (산격동)",000-000-0000,35.91327371,128.547749,2021-09-07
부엉이안경가게,대구광역시 북구 칠곡중앙대로 373 (태전동),053-326-1711,35.91323613,128.5480811,2021-09-07
미도안경원,대구광역시 북구 연암로 146-1 (산격동),053-959-7782,35.88089007,128.6091919,2021-09-07
윤안경콘택트,대구광역시 북구 동북로 163 (산격동),053-383-0233,35.89926542,128.6149827,2021-09-07
도안당안경원,대구광역시 북구 동북로 244 (복현동),053-953-4049,35.89108144,128.5898862,2021-09-07
동산 안경원,대구광역시 북구 칠곡중앙대로 412 (태전동),053-325-8566,35.94334557,128.5585975,2021-09-07
안경사랑,대구광역시 북구 동북로 288 (복현동),053-955-3369,35.89816191,128.6069096,2021-09-07
아이클럽안경원,대구광역시 북구 동북로 146 (산격동),053-943-6113,35.92799545,128.5979513,2021-09-07
아이체널 안경원,대구광역시 북구 신암로 105 (대현동),000-000-0000,35.87790725,128.6073085,2021-09-07
씨채널 안경 칠곡점,대구광역시 북구 칠곡중앙대로 327-1 (태전동),053-313-0500,35.89890849,128.6125207,2021-09-07
씨채널안경원,대구광역시 북구 동북로 258-1 (복현동),053-956-1833,35.89890849,128.6125207,2021-09-07
아이피아홈플러스안경원,대구광역시 북구 중앙대로 543 (칠성동2가),053-356-4903,35.94308964,128.5632066,2021-09-07
옵티션찰리대현점,대구광역시 북구 대현남로6길 17 (대현동),053-954-4520,35.91968284,128.6038389,2021-09-07
애체안경타운,대구광역시 북구 검단로 23 (산격동),053-958-2800,35.89083134,128.5875915,2021-09-07
명안경원,대구광역시 북구 동북로 186 (산격동),053-957-8008,35.87845591,128.6003799,2021-09-07
영남안경원,대구광역시 북구 동북로 160 (산격동),053-957-1110,35.88893233,128.5870236,2021-09-07
우성 안경원,대구광역시 북구 산격로 90-1 (산격동),053-471-5422,35.93252472,128.5479929,2021-09-07
아이피아안경원,대구광역시 북구 칠곡중앙대로 463 (관음동),053-312-3385,35.91377195,128.5471984,2021-09-07
보보당안경원,대구광역시 북구 고성로 154 (고성동2가),053-352-6468,35.93520636,128.5586731,2021-09-07
새신용사안경원,대구광역시 북구 칠곡중앙대로 529 (읍내동),053-312-2437,35.88880933,128.5918741,2021-09-07
귀빈당 안경원,대구광역시 북구 동북로 246 (복현동),053-952-0222,35.90636981,128.6180955,2021-09-07
서독안경원,대구광역시 북구 팔달로 173-1 (노원동3가),053-352-2847,35.93179184,128.5486085,2021-09-07
윤 안경원,대구광역시 북구 신암로 63 (대현동),053-941-4146,35.92736349,128.5472702,2021-09-07
소보안경원,대구광역시 북구 성북로 3 (침산동),053-355-1251,35.890221,128.583999,2021-09-07
