위도,경도,name,addr:full,phone,source:date,amenity,healthcare:speciality,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.50297214,126.6722658,석남서울치과의원,"인천광역시 서구 가정로 204, 2~3층 (석남동)",+82 32 576 2875,2020-08-28,dentist,,,가정로,204,석남동,,,
37.5323839,126.6470464,휴앤미의원,"인천광역시 서구 청라커낼로260번길 27, 128~129호 (청라동, 청라한신더휴커낼웨이)",+82 32 562 8857,2020-08-28,doctors,,,청라커낼로260번길,27,,,,128-129
37.5323839,126.6470464,세중한의원 청라점,"인천광역시 서구 청라커낼로260번길 27, 246호 (청라동, 청라한신더휴커낼웨이)",+82 32 567 3308,2020-08-28,doctors,acupuncture,,청라커낼로260번길,27,,,,246
37.53208948,126.6457279,연세예쁜미소치과의원,"인천광역시 서구 청라커낼로260번길 11, 405호 (청라동, 진성프라자)",+82 32 710 2879,2020-08-28,dentist,,,청라커낼로260번길,11,,,,405
37.52208025,126.6648346,소망연세의원,"인천광역시 서구 새오개로111번안길 32, 2~3층 (신현동)",+82 32 715 5774,2020-08-28,doctors,,,새오개로111번안길,32,신현동,,,
37.5323839,126.6470464,연세별치과의원,"인천광역시 서구 청라커낼로260번길 27, 247호 (청라동, 청라한신더휴커낼웨이)",+82 32 268 2875,2020-08-28,dentist,,,청라커낼로260번길,27,,,,247
37.51848254,126.6726021,365채움한의원,"인천광역시 서구 가정로 375, 202,208호 (신현동, 금강아미움)",+82 32 575 1075,2020-08-28,doctors,acupuncture,,가정로,375,,,,"202,208"
37.52638571,126.6711046,우리베스트내과의원,,+82 32 715 6308,2020-08-28,doctors,,,염곡로464번길,15,가정동,,4,
37.53386257,126.6455601,뜰한의원,"인천광역시 서구 청라커낼로288번길 10, 406호 (청라동, 더스페이스타워)",+82 32 710 1472,2020-08-28,doctors,acupuncture,,청라커낼로288번길,10,,,,406
37.52647816,126.6697114,서울정형외과의원,"인천광역시 서구 염곡로 468, 7~8층 (가정동, 드림타워)",+82 32 561 1140,2020-08-28,doctors,,,염곡로,468,,,,
37.53341248,126.6401035,청라맑은샘한의원,"인천광역시 서구 청라루비로 93, 205호 (청라동, 루비타워)",+82 32 564 1238,2020-08-28,doctors,acupuncture,,청라루비로,93,,,,205
37.53233836,126.6556911,청라좋은하늘치과의원,,+82 32 265 2875,2020-08-28,dentist,,,청라에메랄드로,79,청라동,,,306-307
37.59410011,126.6737751,오케이마취통증의학과의원,"인천광역시 서구 원당대로 651, 2~3층 (마전동, 완정빌딩)",+82 32 566 7700,2020-08-28,doctors,,,원당대로,651,,,,
37.53398199,126.6568157,청라단비한의원,"인천광역시 서구 청라에메랄드로102번길 8, 405호 (청라동, 우성메디피아)",+82 32 565 1075,2020-08-28,doctors,acupuncture,,청라에메랄드로102번길,8,,,,405
37.60180142,126.6576142,더나아산부인과의원,"인천광역시 서구 검단로 480, 5층 (왕길동, 검단리치웰프라자)",+82 32 567 5732,2020-08-28,doctors,,,검단로,480,,,5,
37.53259499,126.6458093,청라S한의원,"인천광역시 서구 청라커낼로260번길 7-11, 201~207호 (청라동, 청라퍼스트타워)",+82 32 719 8258,2020-08-28,doctors,acupuncture,,청라커낼로260번길,7-11,,,,201-207
37.51813807,126.673219,뉴욕리더스치과의원,,+82 32 573 2825,2020-08-28,dentist,,,가정로,372,가정동,,,201
37.49955842,126.6619783,국제플란트치과의원,,+82 32 584 1007,2020-08-28,dentist,,,봉수대로,268,석남동,,,201
37.60260123,126.65743,인천용한의원,,+82 32 565 1368,2020-08-28,doctors,acupuncture,,완정로,172,마전동,,,303
37.60260123,126.65743,이화별의원,,+82 32 564 9400,2020-08-28,doctors,,,완정로,172,마전동,,,407
37.54229397,126.6763898,경희참조은한의원,"인천광역시 서구 서곶로 277 (심곡동, 동우 리스웰)",+82 32 565 8588,2020-08-28,doctors,acupuncture,,서곶로,277,,,,
37.59328487,126.6968665,더(the)조은정신건강의학과의원,"인천광역시 서구 원당대로 860, 804호 (당하동, 보람프라자)",+82 32 564 7505,2020-08-28,doctors,,,원당대로,860,,,,804
37.53386257,126.6455601,진이비인후과의원,"인천광역시 서구 청라커낼로288번길 10, 403~404호 (청라동, 더스페이스타워)",+82 32 561 5552,2020-08-28,doctors,,,청라커낼로288번길,10,,,,403-404
37.53208948,126.6457279,참편안365의원,"인천광역시 서구 청라커낼로260번길 11, 602~604호 (청라동, 진성프라자)",+82 32 562 1175,2020-08-28,doctors,,,청라커낼로260번길,11,,,,602-604
37.52647816,126.6697114,드림본의원,"인천광역시 서구 염곡로 468, 601~604호 (가정동, 드림타워)",+82 32 566 7576,2020-08-28,doctors,,,염곡로,468,,,,601-604
37.52638571,126.6711046,루원365한의원,,+82 1877 4975,2020-08-28,doctors,acupuncture,,염곡로464번길,15,가정동,,,"301-302호,310-311호,605-609"
37.53386257,126.6455601,청라미소소아청소년과의원,"인천광역시 서구 청라커낼로288번길 10, 505호 (청라동, 더스페이스타워)",+82 32 563 7227,2020-08-28,doctors,,,청라커낼로288번길,10,,,,505
37.60147146,126.6587073,오라클피부과의원,"인천광역시 서구 완정로 153, 5층 (왕길동, 이레메디칼센터)",+82 32 566 4114,2020-08-28,doctors,,,완정로,153,,,5,
37.51892599,126.6727752,정본한의원,,+82 32 724 8004,2020-08-28,doctors,acupuncture,,가정로,379,신현동,,,402
37.53340502,126.6449461,청라골든연합의원,"인천광역시 서구 청라커낼로 280, 603~607호 (청라동, 청라골든프라자)",+82 32 566 8287,2020-08-28,doctors,,,청라커낼로,280,,,,603-607
37.51848254,126.6726021,미엘피부과의원,"인천광역시 서구 가정로 375, 403~404호 (신현동, 금강아미움)",+82 32 572 7111,2020-08-28,doctors,,,가정로,375,,,,403-404
37.60260123,126.65743,이주영미즈영상의학과의원,,+82 32 562 0033,2020-08-28,doctors,,,완정로,172,마전동,,,403
37.5029314,126.671848,아가파의원,"인천광역시 서구 가정로 201-1, 2층 일부 (석남동, 두일빌딩)",+82 32 572 4500,2020-08-28,doctors,,,가정로,201-1,,,2,
37.60260123,126.65743,킹소아청소년과의원,,+82 32 568 5119,2020-08-28,doctors,,,완정로,172,마전동,,,402
37.60147146,126.6587073,검단서유승내과의원,"인천광역시 서구 완정로 153, 3층 (왕길동, 이레메디칼센터)",+82 32 568 4588,2020-08-28,doctors,,,완정로,153,,,3,
37.53210911,126.6513846,데일리의원,"인천광역시 서구 중봉대로586번길 15, 401~402호 (청라동, 청연프라자)",+82 32 567 5430,2020-08-28,doctors,,,중봉대로586번길,15,,,,401-402
37.59510977,126.6722172,경희척한의원,"인천광역시 서구 완정로 18, 203호 일부 (마전동, 한윤메디칼)",+82 32 561 7581,2020-08-28,doctors,acupuncture,,완정로,18,,,,203
37.53388963,126.650289,소유외과의원,,+82 32 292 1000,2020-08-28,doctors,,,중봉대로,610,청라동,,,603-604
37.53208993,126.6449812,청라고려의원,"인천광역시 서구 청라커낼로 264, 908호 (청라동, 청라두손중앙프라자)",+82 1661 1737,2020-08-28,doctors,,,청라커낼로,264,,,,908
37.60260123,126.65743,윤재활의학과의원,,+82 32 568 7588,2020-08-28,doctors,,,완정로,172,마전동,,,404-405
37.52914469,126.6656704,신아한의원,,+82 32 562 0130,2020-08-28,doctors,acupuncture,,봉오재3로,46,가정동,,2,
37.52969433,126.665672,아이사랑소아청소년과의원,,+82 32 561 0279,2020-08-28,doctors,,,봉오재3로,40,가정동,,,202
37.54357481,126.6765143,더본마취통증의학과의원,,+82 32 561 8136,2020-08-28,doctors,,,서곶로,293,심곡동,,,502
37.60260123,126.65743,우수치과의원,,+82 32 565 2080,2020-08-28,dentist,,,완정로,172,마전동,,,304-305
37.60260123,126.65743,아름드리정신건강의학과의원,,+82 32 568 7559,2020-08-28,doctors,,,완정로,172,마전동,,,406
37.48874461,126.6835196,365바로한의원,"인천광역시 서구 고래울로 4, 3층 일부 (가좌동)",+82 32 715 7789,2020-08-28,doctors,acupuncture,,고래울로,4,가좌동,,3,
37.52720848,126.6697551,로지의원,"인천광역시 서구 봉오재3로 90, 201~202호 (가정동, 한일골드타워)",+82 32 569 6515,2020-08-28,doctors,,,봉오재3로,90,,,,201-202
37.52647816,126.6697114,굿닥터신치과의원,"인천광역시 서구 염곡로 468, 405~406호 (가정동, 드림타워)",+82 32 563 2575,2020-08-28,dentist,,,염곡로,468,,,,405-406
37.52763226,126.6697815,가정21세기치과의원,"인천광역시 서구 염곡로498번안길 16-1, 301~302호 (가정동, 퍼스트프라자)",+82 32 773 2879,2020-08-28,dentist,,,염곡로498번안길,16-1,,,,301-302
37.53340502,126.6449461,사랑이꽃피는한의원,,+82 32 555 1199,2020-08-28,doctors,acupuncture,,청라커낼로,280,청라동,,,304-305
37.52720848,126.6697551,루원삼성비뇨의학과의원,"인천광역시 서구 봉오재3로 90, 501호 (가정동, 한일골드타워)",+82 32 565 0728,2020-08-28,doctors,,,봉오재3로,90,,,,501
37.53386257,126.6455601,미유치과의원,"인천광역시 서구 청라커낼로288번길 10, 401~402호 (청라동, 더스페이스타워)",+82 32 719 7928,2020-08-28,dentist,,,청라커낼로288번길,10,,,,401-402
37.52242283,126.6648511,사랑소아청소년과의원,,+82 32 572 8277,2020-08-28,doctors,,,새오개로111번안길,31,신현동,,,201
37.53341248,126.6401035,연세유쾌항외과의원,"인천광역시 서구 청라루비로 93, 203~204호 (청라동, 루비타워)",+82 32 721 5585,2020-08-28,doctors,,,청라루비로,93,,,,203-204
37.48874461,126.6835196,행복한가정의학과의원,"인천광역시 서구 고래울로 4, 2층 일부 (가좌동)",+82 32 582 3824,2020-08-28,doctors,,,고래울로,4,가좌동,,2,
37.52720848,126.6697551,유승진내과의원,"인천광역시 서구 봉오재3로 90, 301호 (가정동, 한일골드타워)",+82 32 566 0111,2020-08-28,doctors,,,봉오재3로,90,,,,301
37.52720848,126.6697551,연세센텀치과의원,"인천광역시 서구 봉오재3로 90, 401호 (가정동, 한일골드타워)",+82 32 563 2279,2020-08-28,dentist,,,봉오재3로,90,,,,401
37.53398026,126.6401158,청라미래치과의원,,+82 32 563 2828,2020-08-28,dentist,,,청라루비로,99,경서동,,,302
37.60318842,126.6551885,의료법인 성세의료재단 검단성민치과의원,"인천광역시 서구 완정로 192, 1층 일부 (마전동, 베스트프라자)",+82 32 726 1072,2020-08-28,dentist,,,완정로,192,,,1,
37.52930697,126.6656789,더바른치과의원,"인천광역시 서구 봉오재3로 44, 3층 (가정동, 명문프라자)",+82 32 562 2275,2020-08-28,dentist,,,봉오재3로,44,,,3,
37.58811707,126.6753531,데일리치과의원,"인천광역시 서구 서곶로 788, 204~206호 (당하동, 홀리랜드)",+82 32 561 9928,2020-08-28,dentist,,,서곶로,788,,,,204-206
37.52763226,126.6697815,경희태림한의원,"인천광역시 서구 염곡로498번안길 16-1, 201호 (가정동, 퍼스트프라자)",+82 32 710 5071,2020-08-28,doctors,acupuncture,,염곡로498번안길,16-1,,,,201
37.60147146,126.6587073,명소아청소년과의원,"인천광역시 서구 완정로 153, 201호 (왕길동, 이레메디칼센터)",+82 32 582 7575,2020-08-28,doctors,,,완정로,153,,,,201
37.53209493,126.6509323,서울원누리치과의원,"인천광역시 서구 중봉대로586번길 9-4, 407호 (청라동, 쓰리엠타워)",+82 32 710 7522,2020-08-28,dentist,,,중봉대로586번길,9-4,,,,407
37.52794389,126.6702511,루원치과의원,,+82 32 565 2804,2020-08-28,dentist,,,염곡로498번안길,17,가정동,,1,
37.53209493,126.6509323,서울더본피부과의원,"인천광역시 서구 중봉대로586번길 9-4, 405~406호 (청라동, 쓰리엠타워)",+82 32 710 0075,2020-08-28,doctors,,,중봉대로586번길,9-4,,,,405-406
37.51738973,126.6731757,해솔한의원,"인천광역시 서구 가정로 364-1, 4층 (가정동, 창대빌딩)",+82 32 576 1070,2020-08-28,doctors,acupuncture,,가정로,364-1,,,4,
37.60180142,126.6576142,나눔성형외과의원,"인천광역시 서구 검단로 480, 308~310호 (왕길동, 검단리치웰프라자)",+82 32 567 7788,2020-08-28,doctors,,,검단로,480,,,,308-310
37.60180142,126.6576142,우리탑내과의원,"인천광역시 서구 검단로 480, 206~207호 (왕길동, 검단리치웰프라자)",+82 32 565 8789,2020-08-28,doctors,,,검단로,480,,,,206-207
37.52242283,126.6648511,프라임치과의원,,+82 32 288 2828,2020-08-28,dentist,,,새오개로111번안길,31,신현동,,3,
37.60197566,126.6586756,봄봄한의원,,+82 32 563 2266,2020-08-28,doctors,acupuncture,,완정로,160,마전동,,,202
37.49280407,126.6855743,서울미소치과의원,,+82 32 205 2828,2020-08-28,dentist,,,장고개로337번길,13,가좌동,,,201-202
37.49299212,126.679001,행복의원,"인천광역시 서구 신진말로 30, 1~3층 (가좌동, 승지빌딩)",+82 32 571 7575,2020-08-28,doctors,,,신진말로,30,,,,
37.60180142,126.6576142,하이맨비뇨기과의원,"인천광역시 서구 검단로 480, 406~407호 (왕길동, 검단리치웰프라자)",+82 32 568 5768,2020-08-28,doctors,,,검단로,480,,,,406-407
37.51813807,126.673219,튼튼마취통증의학과의원,"인천광역시 서구 가정로 372, 4층, 5층 2호 (가정동)",+82 32 582 8275,2020-08-28,doctors,,,가정로,372,가정동,,5,2
37.59248978,126.6739962,아라의원,"인천광역시 서구 청마로167번길 24, 4층 (당하동, TK빌딩)",+82 32 715 6075,2020-08-28,doctors,,,청마로167번길,24,,,4,
37.52930697,126.6656789,열린이비인후과의원,"인천광역시 서구 봉오재3로 44, 2층 (가정동, 명문프라자)",+82 32 565 0938,2020-08-28,doctors,,,봉오재3로,44,,,2,
37.54427669,126.6772375,서곶이좋은치과의원,"인천광역시 서구 서곶로 300, 202호 (심곡동, 엄지빌딩)",+82 32 566 1345,2020-08-28,dentist,,,서곶로,300,,,,202
37.53341248,126.6401035,킵슨의원,"인천광역시 서구 청라루비로 93 (경서동, 루비타워)",+82 32 567 5337,2020-08-28,doctors,,,청라루비로,93,,,,
37.51928341,126.6733119,굿드림치과의원,"인천광역시 서구 가정로 386, 3층 (가정동, 신협)",+82 32 272 2828,2020-08-28,dentist,,,가정로,386,,,3,
37.59206421,126.6730073,바로튼튼정형외과의원,"인천광역시 서구 서곶로 837, 3~4층 (당하동)",+82 32 565 1175,2020-08-28,doctors,,,서곶로,837,당하동,,,
37.56518178,126.6749553,검암우리손내과의원,"인천광역시 서구 승학로 498, 301~304호 (검암동, 서해프라자)",+82 32 561 7075,2020-08-28,doctors,,,승학로,498,,,,301-304
37.53199817,126.6401292,청라센트럴안과의원,,+82 32 582 0079,2020-08-28,doctors,,,크리스탈로74번길,31,경서동,,,501-502
37.53388963,126.650289,클린업피부과의원,"인천광역시 서구 중봉대로 610, 403~405호 (청라동, 마루힐프라자)",+82 32 569 7590,2020-08-28,doctors,,,중봉대로,610,,,,403-405
37.53259946,126.6454132,이가튼튼치과의원,"인천광역시 서구 청라커낼로260번길 7-9, 204~206호 (경서동, 반안프라자2차)",+82 32 710 2820,2020-08-28,dentist,,,청라커낼로260번길,7-9,,,,204-206
37.53341248,126.6401035,바로이비인후과의원,"인천광역시 서구 청라루비로 93, 403호 (경서동, 루비타워)",+82 32 561 5085,2020-08-28,doctors,,,청라루비로,93,,,,403
37.5334429,126.6529899,연세원비뇨의학과의원,"인천광역시 서구 청라라임로 65, 501호 (청라동, 라임타워)",+82 32 583 1313,2020-08-28,doctors,,,청라라임로,65,,,,501
37.53259946,126.6454132,서울경희한의원,"인천광역시 서구 청라커낼로260번길 7-9, 201호 (경서동, 반안프라자2차)",+82 32 563 9803,2020-08-28,doctors,acupuncture,,청라커낼로260번길,7-9,,,,201
37.53388963,126.650289,청라우림치과의원,"인천광역시 서구 중봉대로 610, 503~504호 (청라동, 마루힐프라자)",+82 32 564 2285,2020-08-28,dentist,,,중봉대로,610,,,,503-504
37.54357481,126.6765143,마음정신건강의학과의원,,+82 32 226 7302,2020-08-28,doctors,,,서곶로,293,심곡동,,,
37.53388963,126.650289,강경하한의원,"인천광역시 서구 중봉대로 610, 203~204호 (청라동, 마루힐프라자)",+82 32 715 7862,2020-08-28,doctors,acupuncture,,중봉대로,610,,,,203-204
37.53341248,126.6401035,청라다온치과의원,"인천광역시 서구 청라루비로 93, 303~304호 (경서동, 루비타워)",+82 32 563 2804,2020-08-28,dentist,,,청라루비로,93,,,,303-304
37.60180142,126.6576142,미래안소아청소년과의원,"인천광역시 서구 검단로 480, 510호 (왕길동, 검단리치웰프라자)",+82 32 568 5255,2020-08-28,doctors,,,검단로,480,,,,510
37.60293526,126.6606629,나은미소치과의원,"인천광역시 서구 검단로 508, 401~402호 (마전동, 이지준프라자)",+82 32 568 2270,2020-08-28,dentist,,,검단로,508,,,,401-402
37.51208845,126.6728849,참플란트치과의원,,+82 32 277 7528,2020-08-28,dentist,,,가정로308번길,2,석남동,,,302
37.52946925,126.6656873,아이(i)제일소아청소년과의원,"인천광역시 서구 봉오재3로 42, 201호 (가정동, 다온프라자)",+82 32 564 9110,2020-08-28,doctors,,,봉오재3로,42,,,,201
37.53199817,126.6401292,로빈한의원,"인천광역시 서구 크리스탈로74번길 31, 401~402호 (경서동, 월드프라자)",+82 32 561 5675,2020-08-28,doctors,acupuncture,,크리스탈로74번길,31,,,,401-402
37.53208993,126.6449812,도원한의원,"인천광역시 서구 청라커낼로 264, 406호 (경서동, 청라두손중앙프라자)",+82 32 564 5640,2020-08-28,doctors,acupuncture,,청라커낼로,264,,,,406
37.49526897,126.6844116,이룸의원,"인천광역시 서구 건지로 402, 201, 301호 (가좌동, 가좌한신휴플러스)",+82 32 577 2624,2020-08-28,doctors,,,건지로,402,,,,301
37.59659357,126.6402804,365검단열린의원,"인천광역시 서구 단봉로 97-7, 305~306호 (오류동, 오류센터프라자)",+82 32 561 0365,2020-08-28,doctors,,,단봉로,97-7,,,,305-306
37.52970839,126.665321,의료법인순의료재단가정성모의원,"인천광역시 서구 청중로 486, 303~304호, 401~402호 (가정동, 부일프라자)",+82 32 565 7586,2020-08-28,doctors,,,청중로,486,,,,401-402
37.53208993,126.6449812,진정형외과의원,"인천광역시 서구 청라커낼로 264, 403~404호 (경서동, 청라두손중앙프라자)",+82 32 566 0085,2020-08-28,doctors,,,청라커낼로,264,,,,403-404
37.53208993,126.6449812,청라퍼스트치과의원,"인천광역시 서구 청라커낼로 264, 504~505호 (경서동, 청라두손중앙프라자)",+82 32 575 2875,2020-08-28,dentist,,,청라커낼로,264,,,,504-505
37.53207737,126.6368353,제대로정형외과마취통증의학과의원,"인천광역시 서구 크리스탈로 78, 4층 (청라동, 엘림존)",+82 1522 7235,2020-08-28,doctors,,,크리스탈로,78,,,4,
37.53199817,126.6401292,청라우리정형외과의원,"인천광역시 서구 크리스탈로74번길 31, 303~306호 (경서동, 월드프라자)",+82 32 777 7582,2020-08-28,doctors,,,크리스탈로74번길,31,,,,303-306
37.60318842,126.6551885,의료법인성세의료재단검단성민의원,"인천광역시 서구 완정로 192, 1층 일부, 2층 (마전동, 베스트프라자)",+82 32 726 1001,2020-08-28,doctors,,,완정로,192,,,2,
37.53199817,126.6401292,다정한내과의원,"인천광역시 서구 크리스탈로74번길 31, 403~404, 406호 (청라동, 월드프라자)",+82 32 562 7511,2020-08-28,doctors,,,크리스탈로74번길,31,,,,406
37.52370315,126.6240684,서울샤인치과의원,,+82 32 563 2842,2020-08-28,dentist,,,솔빛로,24,경서동,,,301
37.53336714,126.6502984,이바른치과교정과치과의원,"인천광역시 서구 중봉대로 602, 104호 (청라동, 청라에스엔씨)",+82 32 715 4494,2020-08-28,dentist,,,중봉대로,602,,,,104
37.50382375,126.6718775,호선한의원,,+82 32 578 1075,2020-08-28,doctors,acupuncture,,가정로,213,석남동,,1,
37.60293526,126.6606629,검단나은의원,"인천광역시 서구 검단로 508, 3층 (마전동, 이지준프라자)",+82 32 590 5700,2020-08-28,doctors,,,검단로,508,,,3,
37.51848254,126.6726021,맑은코아이비인후과의원,"인천광역시 서구 가정로 375, 312호 (신현동, 금강아미움)",+82 32 571 5251,2020-08-28,doctors,,,가정로,375,,,,312
37.55886607,126.6526799,튼튼의원,"인천광역시 서구 도요지로 22, 202호 (경서동, 대영프라자)",+82 32 567 6790,2020-08-28,doctors,,,도요지로,22,,,,202
37.53256502,126.6502789,파랑새치과의원,"인천광역시 서구 중봉대로 594, 501~505호 (청라동, 청라비전프라자)",+82 32 715 5672,2020-08-28,dentist,,,중봉대로,594,,,,501-505
37.53199817,126.6401292,청라치과의원,"인천광역시 서구 크리스탈로74번길 31, 503~505호 (경서동, 월드프라자)",+82 32 584 2828,2020-08-28,dentist,,,크리스탈로74번길,31,,,,503-505
37.53398199,126.6568157,청라나눔내과의원,"인천광역시 서구 청라에메랄드로102번길 8, 303~304호 (청라동, 우성메디피아)",+82 32 567 0750,2020-08-28,doctors,,,청라에메랄드로102번길,8,,,,303-304
37.53338225,126.6516219,청라꾸러기치과의원,"인천광역시 서구 중봉대로612번길 10-16, 502~504호 (연희동, 마르씨엘)",+82 32 267 2875,2020-08-28,dentist,,,중봉대로612번길,10-16,,,,502-504
37.53371902,126.6401206,에이플러스365청라가정의학과의원,"인천광역시 서구 청라루비로 95, 301~302호 (경서동, 경연프라자)",+82 32 566 4834,2020-08-28,doctors,,,청라루비로,95,,,,301-302
37.5339005,126.6520312,청라리아한의원,"인천광역시 서구 중봉대로612번길 10-17, 307~308호 (청라동, 주차타워동)",+82 32 565 4975,2020-08-28,doctors,acupuncture,,중봉대로612번길,10-17,주차타워동,,,307-308
37.52011346,126.6734103,올바른치과의원,"인천광역시 서구 가정로394번길 1, 302호 (가정동, 백천빌딩)",+82 32 575 2879,2020-08-28,dentist,,,가정로394번길,1,,,,302
37.59391194,126.6973539,루브르치과의원,"인천광역시 서구 원당대로 861, 301~302호 (원당동, 원당프라자)",+82 32 715 8266,2020-08-28,dentist,,,원당대로,861,,,,301-302
37.52969433,126.665672,맑은미소치과의원,"인천광역시 서구 봉오재3로 40, 201호 (가정동, 가정프라자)",+82 32 567 2879,2020-08-28,dentist,,,봉오재3로,40,,,,201
37.50354957,126.6723347,팔팔마취통증의학과의원,"인천광역시 서구 가정로 212, 3,6층 (석남동)",+82 32 582 7588,2020-08-28,doctors,,,가정로,212,석남동,,,
37.53400038,126.6528893,토파즈성형외과의원,"인천광역시 서구 청라라임로 71, 503호 (청라동, 진영메디피아)",+82 32 566 5790,2020-08-28,doctors,,,청라라임로,71,,,,503
37.51848254,126.6726021,365별소아청소년과의원,"인천광역시 서구 가정로 375, 302호 (신현동, 금강아미움)",+82 32 581 9900,2020-08-28,doctors,,,가정로,375,,,,302
37.59421414,126.6123209,미소드림치과의원,"인천광역시 서구 보듬5로 5, 303호 (오류동, 오덕프라자)",+82 32 562 5500,2020-08-28,dentist,,,보듬5로,5,,,,303
37.53336714,126.6502984,더예쁨의원,,+82 32 716 6110,2020-08-28,doctors,,,중봉대로,602,청라동,,,101
37.5339005,126.6520312,닥터케어스치과의원,"인천광역시 서구 중봉대로612번길 10-17, 309호 (청라동, 주차타워동)",+82 32 566 2080,2020-08-28,dentist,,,중봉대로612번길,10-17,주차타워동,,,309
37.52970839,126.665321,소나무한의원,"인천광역시 서구 청중로 486, 202~203호 (가정동, 부일프라자)",+82 32 575 9001,2020-08-28,doctors,acupuncture,,청중로,486,,,,202-203
37.59328607,126.6742991,검단연합의원,"인천광역시 서구 원당대로 660, 401호, 402호 일부 (당하동, 영프라자)",+82 32 569 8823,2020-08-28,doctors,,,원당대로,660,,,,402
37.52563936,126.6309678,문내과의원,,+82 32 561 7515,2020-08-28,doctors,,,옥빛로,4,경서동,,2,
37.56670028,126.6826369,사과나무소아청소년과의원,,+82 32 561 9575,2020-08-28,doctors,,,승학로,567,검암동,,,301
37.61358187,126.6603702,마전참사랑의원,,+82 32 566 0172,2020-08-28,doctors,,,마전로5번길,22-1,마전동,,2,
37.56740074,126.6832358,두일한의원,"인천광역시 서구 승학로 577, 301호 (검암동, 장은프라자)",+82 32 568 2175,2020-08-28,doctors,acupuncture,,승학로,577,,,,301
37.54262715,126.6763726,이너스피부과의원,,+82 32 262 1777,2020-08-28,doctors,,,서곶로,281,심곡동,,3,
37.59328607,126.6742991,검단정플란트치과의원,"인천광역시 서구 원당대로 660, 1001호 (당하동, 영플라자)",+82 32 562 1128,2020-08-28,dentist,,,원당대로,660,,,,1001
37.53336714,126.6502984,청라아이맘한의원,,+82 32 562 7075,2020-08-28,doctors,acupuncture,,중봉대로,602,청라동,,,106
37.51236746,126.6728573,강남의원,"인천광역시 서구 가정로 308, 301호, 302호 일부 (석남동, 석남프라자)",+82 32 574 7582,2020-08-28,doctors,,,가정로,308,,,,302
37.53336714,126.6502984,청라이플란트치과의원,,+82 32 715 4587,2020-08-28,dentist,,,중봉대로,602,청라동,,,105
37.53205115,126.6502542,서울삼성치과의원,"인천광역시 서구 중봉대로 588, 303~304호 (청라동, 청라센트럴프라자)",+82 32 567 5755,2020-08-28,dentist,,,중봉대로,588,,,,303-304
37.53214453,126.6529114,봄날한의원,"인천광역시 서구 청라라임로 51, 210호 (청라동, 청라에일린의뜰)",+82 32 564 8875,2020-08-28,doctors,acupuncture,,청라라임로,51,,,,210
37.51848254,126.6726021,아나파나마취통증의학과의원,"인천광역시 서구 가정로 375, 303호 (신현동, 금강아미움)",+82 32 572 7579,2020-08-28,doctors,,,가정로,375,,,,303
37.53400038,126.6528893,서울갤러리치과의원,"인천광역시 서구 청라라임로 71, 307호 (청라동, 진영메디피아)",+82 32 568 5772,2020-08-28,dentist,,,청라라임로,71,,,,307
37.4933967,126.6845801,좋은아침한의원,"인천광역시 서구 원적로96번길 26, 203호 일부, 204~205호 (가좌동)",+82 32 715 8075,2020-08-28,doctors,acupuncture,,원적로96번길,26,가좌동,,,204-205
37.51848254,126.6726021,새힘정형외과의원,"인천광역시 서구 가정로 375, 306~308호 (신현동, 금강아미움)",+82 32 583 2014,2020-08-28,doctors,,,가정로,375,,,,306-308
37.50326879,126.6730069,서울휴플러스치과의원,,+82 32 576 7528,2020-08-28,dentist,,,거북로,99,석남동,,2,
37.59069418,126.6729636,코안이비인후과의원,"인천광역시 서구 서곶로 823, 2층 (당하동, 송산프라자1)",+82 32 773 8275,2020-08-28,doctors,,,서곶로,823,,,2,
