위도,경도,name,phone,addr:full,source:date,community_centre,community_centre:for,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.1693191,126.2716551,가파리,064-794-1954,,2020-06-29,village_hall,senior,,가파로67번길,48,대정읍,,,
33.274311,126.2802209,구억리,064-794-1130,,2020-06-29,village_hall,senior,,중산간서로,2362,대정읍,,,
33.2276743,126.2517033,서귀포대정아파트,,제주특별자치도 서귀포시 대정읍 하모중앙로6 ,2020-06-29,village_hall,senior,,,,대정읍,,,
33.2284963,126.2431782,동일1리,064-792-1944,,2020-06-29,village_hall,senior,,동일하모로,99,대정읍,,,
33.2578381,126.2366708,동일2리,064-792-5890,,2020-06-29,village_hall,senior,,암반수마농로329번길,18,대정읍,,,
33.291839,126.284336,라온아파트,,,2020-06-29,village_hall,senior,,에듀시티로,74,대정읍,,,
33.1171145,126.2671148,마라리,064-794-1130,,2020-06-29,village_hall,senior,,77번길,11,대정읍,,,
33.2225379,126.2524545,모슬포,064-794-1388,,2020-06-29,village_hall,senior,,하모중앙로,63,대정읍,,,
33.2701383,126.203086,무릉1리,064-792-0663,,2020-06-29,village_hall,senior,,서삼중로,81,대정읍,,,
33.2784006,126.2461042,무릉2리(인향동),064-792-2212,,2020-06-29,village_hall,senior,,무릉인향로14번길,21-2,대정읍,,,
33.2747978,126.2353875,무릉2리(좌기동),064-792-3334,제주특별자치도 서귀포시 대정읍 중산간서로2868 ,2020-06-29,village_hall,senior,,,,대정읍,,,
33.2813695,126.2233914,무릉2리(평지동),064-792-1555,,2020-06-29,village_hall,senior,,무영로228번길,17-11,대정읍,,,
33.2513899,126.27307,보성리,064-794-8387,,2020-06-29,village_hall,senior,,추사로,93-8,대정읍,,,
33.2090508,126.2906995,산이수동,064-794-5289,,2020-06-29,village_hall,senior,,411번길,8,대정읍,,,
33.28505,126.27843,삼정지에듀,,,2020-06-29,village_hall,senior,,에듀시티로,148,대정읍,,,
33.2264426,126.2694199,상모1리(이교동),064-794-5534,,2020-06-29,village_hall,senior,,상모인성로,18,대정읍,,,
33.2227189,126.2615116,상모2리(대동),064-794-1307,,2020-06-29,village_hall,senior,,269번길,14,대정읍,,,
33.2248133,126.2583594,상모2리(서상동),064-794-0279,,2020-06-29,village_hall,senior,,288번길,18,대정읍,,,
33.221954,126.258459,상모3리,064-794-1892,,2020-06-29,village_hall,senior,,영서중로,45-4,대정읍,,,
33.2783854,126.1918199,신도1리,064-792-5560,,2020-06-29,village_hall,senior,,도원로,217,대정읍,,,
33.2775937,126.1749091,신도2리,064-773-1732,,2020-06-29,village_hall,senior,,도원로,43,대정읍,,,
33.2867,126.1846927,신도3리,064-772-4806,,2020-06-29,village_hall,senior,,비자낭로,8,대정읍,,,
33.2653436,126.2590019,신평리,064-794-3623,,2020-06-29,village_hall,senior,,중산간서로,2610,대정읍,,,
33.2501849,126.2818826,안성리,064-792-6500,,2020-06-29,village_hall,senior,,추사로,10-1,대정읍,,,
33.2585101,126.2109505,영락리,064-792-5204,,2020-06-29,village_hall,senior,,영락중동로,11,대정읍,,,
33.2477907,126.2805421,인성리,064-794-2619,제주특별자치도 서귀포시 대정읍 향교로75번길60 ,2020-06-29,village_hall,senior,,,,대정읍,,,
33.2329543,126.2441886,일과1리,064-794-0877,,2020-06-29,village_hall,senior,,일과로,18,대정읍,,,
33.2392238,126.2303265,일과1리(대수동),064-794-5147,,2020-06-29,village_hall,senior,,일과대수로27번길,10,대정읍,,,
33.2468741,126.2240533,일과2리,064-794-6810,,2020-06-29,village_hall,senior,,서림로,18,대정읍,,,
33.2150412,126.259188,하모1리,064-794-1281,,2020-06-29,village_hall,senior,,하모백사로,41,대정읍,,,
33.2202452,126.253548,하모2리,064-794-2244,,2020-06-29,village_hall,senior,,신영로94번길,7,대정읍,,,
33.2216675,126.2498653,하모3리,064-792-3588,,2020-06-29,village_hall,senior,,하모상가로,9,대정읍,,,
33.28691522,126.2803435,한신더휴,,,2020-06-29,village_hall,senior,,에듀시티로,102,대정읍,,,
33.2777575,126.716053,남원1리,064- 764-4611,,2020-06-29,village_hall,senior,,남원회관로,27,남원읍,,,
33.2929569,126.7100276,남원2리,064- 764-5234,제주특별자치도 서귀포시 남원읍 남한로173 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2784254,126.7000067,남원LH아파트,,,2020-06-29,village_hall,senior,,남원체육관로,342,남원읍,,,
33.3190481,126.7087521,수망리,064- 764-4776,제주특별자치도 서귀포시 남원읍 남조로578-3 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.287937,126.6301037,신례1리,064- 767-2745,제주특별자치도 서귀포시 남원읍 신례로259 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2650867,126.6408776,신례2리,064- 767-3664,제주특별자치도 서귀포시 남원읍 공천포로69-1 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.3045865,126.7676424,신흥1리,064- 764-5440,제주특별자치도 서귀포시 남원읍 신흥로32-10 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.3204358,126.7451736,신흥2리,064- 764-0227,제주특별자치도 서귀포시 남원읍 한신로531번길22-1 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2740718,126.6572724,위미1리,064- 764-1259,제주특별자치도 서귀포시 남원읍 위미해안로4-2 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2748285,126.6676822,위미2리,064- 764-5769,제주특별자치도 서귀포시 남원읍 태위로192-4 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2756654,126.6880456,위미3리,064- 764-5376,제주특별자치도 서귀포시 남원읍 태위로381-5 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.3104178,126.7135138,의귀리,064- 764-5744,제주특별자치도 서귀포시 남원읍 한신로207 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2834217,126.733118,태흥1리,064- 764-6511,제주특별자치도 서귀포시 남원읍 태위로817 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2866453,126.7450563,태흥2리,064- 764-3411,제주특별자치도 서귀포시 남원읍 태신로3 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2936874,126.7587397,태흥3리,064- 764-6197,제주특별자치도 서귀포시 남원읍 삼덕로3 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2692106,126.6274919,하례1리,064- 767-1199,제주특별자치도 서귀포시 남원읍 하신로187번길29 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.2973116,126.609047,하례2리,064- 732-4177,제주특별자치도 서귀포시 남원읍 하례돈야로85 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.3124223,126.6952065,한남리,064- 764-3185,제주특별자치도 서귀포시 남원읍 한신로17-4 ,2020-06-29,village_hall,senior,,,,남원읍,,,
33.4491169,126.9065308,고성리,064-782-5162,,2020-06-29,village_hall,senior,,산성효자로,64,성산읍,,,
33.3961143,126.8790198,난산리,064-782-8116,,2020-06-29,village_hall,senior,,난산로,26,성산읍,,,
33.3741836,126.8473902,삼달1리,064-782-6441,,2020-06-29,village_hall,senior,,삼달로,209,성산읍,,,
33.416346,126.889907,삼달2리,064-782-5969,,2020-06-29,village_hall,senior,,일주동로,5252,성산읍,,,
33.4638574,126.9331069,성산리,064-784-1123,,2020-06-29,village_hall,senior,,성산중앙로,41-8,성산읍,,,
33.4467649,126.8825965,수산1리,064-782-7767,제주특별자치도 서귀포시 성산읍 수산서남로26 ,2020-06-29,village_hall,senior,,,,성산읍,,,
33.4421161,126.8638441,수산2리,064-782-5566,,2020-06-29,village_hall,senior,,79번길,150,성산읍,,,
33.4741839,126.9040793,시흥리,064-782-8045,,2020-06-29,village_hall,senior,,시흥하동로57번길,10,성산읍,,,
33.3810532,126.8769003,신산리,064-782-6881,,2020-06-29,village_hall,senior,,신산중앙로,1,성산읍,,,
33.4383836,126.9174982,신양리,064-783-4968,,2020-06-29,village_hall,senior,,신고로,28,성산읍,,,
33.3443476,126.8522448,신천리,064-782-2271,,2020-06-29,village_hall,senior,,신천로,26,성산읍,,,
33.3611883,126.8354996,신풍리,064-782-1023,,2020-06-29,village_hall,senior,,풍천로,227,성산읍,,,
33.4608504,126.9151268,오조리,064-784-0830,,2020-06-29,village_hall,senior,,오조로,77,성산읍,,,
33.4067624,126.901592,온평리,064-784-0901,,2020-06-29,village_hall,senior,,온평애향로,42,성산읍,,,
33.2594855,126.3539997,감산리,064-792-4666,,2020-06-29,village_hall,senior,,감산중로,29,안덕면,,,
33.3295908,126.381331,광평리,064-792-6042,,2020-06-29,village_hall,senior,,광평로,41,안덕면,,,
33.230969,126.2990044,대전,064-794-6466,,2020-06-29,village_hall,senior,,3번길,11,안덕면,,,
33.2384678,126.3660086,대평리,064-738-2062,,2020-06-29,village_hall,senior,,대평감산로,43,안덕면,,,
33.2546045,126.3066727,덕수리,064-794-5708,,2020-06-29,village_hall,senior,,덕수회관로,98,안덕면,,,
33.3066927,126.3380858,동광단지,,,2020-06-29,village_hall,senior,,신화역사로,688,안덕면,,,
33.3076035,126.3389896,동광리,064-794-8708,제주특별자치도 서귀포시 안덕면 동광본동로2-15 ,2020-06-29,village_hall,senior,,,,안덕면,,,
33.2405873,126.3383121,동하동,064-792-1300,,2020-06-29,village_hall,senior,,123번길,29,안덕면,,,
33.2723241,126.3661767,상창리,064-794-8845,,2020-06-29,village_hall,senior,,한창로,102,안덕면,,,
33.3068376,126.3806833,상천리,,,2020-06-29,village_hall,senior,,병악로,408-3,안덕면,,,
33.287661,126.3295786,서광동리,064-794-8675,,2020-06-29,village_hall,senior,,서광동로47번길,35,안덕면,,,
33.2849305,126.3021949,서광서리,064-794-2383,,2020-06-29,village_hall,senior,,서광남로,144-5,안덕면,,,
33.2272064,126.2968674,송죽,064-794-0731,,2020-06-29,village_hall,senior,,사계남로,61,안덕면,,,
33.2492586,126.3233964,신항동,064-794-5875,,2020-06-29,village_hall,senior,,사계신항로,25-10,안덕면,,,
33.2311169,126.3087905,용해,064-794-5629,,2020-06-29,village_hall,senior,,사계남로,202,안덕면,,,
33.2655601,126.3687603,창천리,064-792-0717,,2020-06-29,village_hall,senior,,창천중앙로,35-2,안덕면,,,
33.2416647,126.3337308,하동,,,2020-06-29,village_hall,senior,,화순중앙로124번길,17,안덕면,,,
33.2467245,126.3328708,화순,064-794-2226,,2020-06-29,village_hall,senior,,54번길,29,안덕면,,,
33.3535804,126.7715936,가시리,064-787-3645,,2020-06-29,village_hall,senior,,565번길,20,표선면,,,
33.3906973,126.8010774,성읍1리,064-787-1344,,2020-06-29,village_hall,senior,,성읍정의현로,88-3,표선면,,,
33.4130993,126.7727195,성읍2리,064-787-4121,,2020-06-29,village_hall,senior,,성읍이리로,58,표선면,,,
33.3318185,126.7982005,세화1리,064-787-3468,,2020-06-29,village_hall,senior,,세성로,302,표선면,,,
33.3070258,126.8014195,세화2리,064-787-2355,,2020-06-29,village_hall,senior,,일주동로,6276,표선면,,,
33.318806,126.790287,세화3리,064-787-1504,,2020-06-29,village_hall,senior,,세화로,168,표선면,,,
33.3300943,126.7703509,토산1리,064-787-1022,,2020-06-29,village_hall,senior,,중산간동로,5503,표선면,,,
33.3088635,126.7797614,토산2리,064-787-7308,,2020-06-29,village_hall,senior,,16번길,1,표선면,,,
33.3297444,126.8295124,표선리,064-787-3098,,2020-06-29,village_hall,senior,,32번길,8,표선면,,,
33.321713,126.8298345,표선리 서동,,,2020-06-29,village_hall,senior,,193번길,8-1,표선면,,,
33.3465068,126.8409698,하천리,064-787-1953,,2020-06-29,village_hall,senior,,하천로,59,표선면,,,
33.3076185,126.812435,한지동,064-787-1833,,2020-06-29,village_hall,senior,,119번길,13,표선면,,,
33.2434118,126.5985546,보목,064-733-5173,제주특별자치도 서귀포시 칠십리로441-1 ,2020-06-29,village_hall,senior,,,,,,,
33.2450378,126.5661672,송산서귀,064-763-6466,제주특별자치도 서귀포시 소암로4 ,2020-06-29,village_hall,senior,,,,,,,
33.2468591,126.5707911,정방,064- 733-1542,,2020-06-29,village_hall,senior,,동부로12번길,15-4,,,,
33.2507157,126.5651902,중앙,064- 733-1535,,2020-06-29,village_hall,senior,,동문동로,27,,,,
33.2445057,126.5537711,남성마을,064-762-5644,,2020-06-29,village_hall,senior,,남성중로141번길,3,,,,
33.2503898,126.5589107,천지동,064- 762-7452,,2020-06-29,village_hall,senior,,서문로,37,,,,
33.2645901,126.6144298,신효,064-767-2001,,2020-06-29,village_hall,senior,,신효중앙로4번길,1,,,,
33.2581464,126.617765,하효,064-767-3016,,2020-06-29,village_hall,senior,,칠십리로,740,,,,
33.3022102,126.574452,돈내코,064-733-3633,,2020-06-29,village_hall,senior,,돈내코로,217,,,,
33.2915441,126.5961441,법호촌,064-733-0065,,2020-06-29,village_hall,senior,,하신상로427번길,5-3,,,,
33.272775,126.5972313,상효1동,064-762-5544,,2020-06-29,village_hall,senior,,상효로,152,,,,
33.2808415,126.609816,상효2동,064-767-3536,,2020-06-29,village_hall,senior,,동상효로,23,,,,
33.2711017,126.5901473,토평동,064-762-0732,,2020-06-29,village_hall,senior,,토평로,58,,,,
33.2498513,126.5739111,동홍10통,,,2020-06-29,village_hall,senior,,태평로512번길,9,,,,
33.2492104,126.5725061,동홍11통,064-732-5568,제주특별자치도 서귀포시 태평로512번길10 ,2020-06-29,village_hall,senior,,,,,,,
33.262563,126.5639577,동홍1통,064-763-5288,,2020-06-29,village_hall,senior,,182번길,49,,,,
33.2661519,126.5699413,동홍2통,064-733-6886,,2020-06-29,village_hall,senior,,7920번길,6-1,,,,
33.252982,126.5749612,동홍5통,064-733-4791,,2020-06-29,village_hall,senior,,태평로,549,,,,
33.2629871,126.5607129,동홍6단지,064-762-0177,,2020-06-29,village_hall,senior,,중앙로,198-9,,,,
33.2521048,126.5726082,동홍6통,064-732-1459,,2020-06-29,village_hall,senior,,동홍중앙로,10,,,,
33.2536684,126.5724669,동홍7통,064-763-9375,,2020-06-29,village_hall,senior,,동홍중앙로,30,,,,
33.2655963,126.5619494,동홍9통,064-762-1817,,2020-06-29,village_hall,senior,,중산간동로,8002,,,,
33.2541849,126.5704175,문부로,064-763-7676,,2020-06-29,village_hall,senior,,태평로537번길,40-9,,,,
33.2513211,126.5753944,삼아아파트,,,2020-06-29,village_hall,senior,,태평로536번길,6,,,,
33.250474,126.536712,인터불고코아루,,,2020-06-29,village_hall,senior,,일주동로,8565,,,,
33.2598049,126.5574779,서홍동,064-732-0026,,2020-06-29,village_hall,senior,,흙담솔로,17-7,,,,
33.2399668,126.5090105,법환,064- 739-1015,,2020-06-29,village_hall,senior,,법환로,76,,,,
33.2474723,126.5285106,서귀포부영아파트,,,2020-06-29,village_hall,senior,,서호남로,91,,,,
33.2517347,126.5121866,새서귀,064- 739-3575,,2020-06-29,village_hall,senior,,27번길,6-7,,,,
33.2582722,126.5241411,서호동,064-739-9959,,2020-06-29,village_hall,senior,,서호호근로,123,,,,
33.2622678,126.6088075,혁신도시LH1단지,,,2020-06-29,village_hall,senior,,서호남로,92-15,,,,
33.2541205,126.560076,혁신도시LH2단지,,,2020-06-29,village_hall,senior,,서호남로,92-16,,,,
33.2558012,126.5242384,호근,064-739-3819,,2020-06-29,village_hall,senior,,서호호근로,95-2,,,,
33.2366013,126.4772906,강정,064-739-1301,,2020-06-29,village_hall,senior,,강정통물로,125-13,,,,
33.25371,126.50109,강정골드클래스아파트 경로당,,,2020-06-29,village_hall,senior,,대청로25번길,9,,,,
33.2572228,126.5739029,강정LH아파트,,,2020-06-29,village_hall,senior,,대청로25번길,9,,,,
33.4856571,126.4679685,강정중흥S클래스아파트,,,2020-06-29,village_hall,senior,,대청로,12,,,,
33.2508791,126.475565,도순,064-739-3496,,2020-06-29,village_hall,senior,,도순남로29번길,13,,,,
33.2526495,126.5045616,신서귀포,064-739-9610,,2020-06-29,village_hall,senior,,신서로,43,,,,
33.2513958,126.482503,용흥,064-739-1058,,2020-06-29,village_hall,senior,,용흥로,55,,,,
33.2459758,126.4608205,월평,064-739-5970,,2020-06-29,village_hall,senior,,월평로,41,,,,
33.252594,126.50458,제주강정유승한내들아파트,,,2020-06-29,village_hall,senior,,대청로,34,,,,
33.2427859,126.4348705,대포,064- 738-3571,,2020-06-29,village_hall,senior,,대포동서로,129,,,,
33.2540315,126.4304517,중문,064- 738-6004,,2020-06-29,village_hall,senior,,천제연로,239-32,,,,
33.2525409,126.4313522,중문푸른마을아파트 ,,,2020-06-29,village_hall,senior,,천제연로,239,,,,
33.2567062,126.4611592,하원,064- 738-4027,,2020-06-29,village_hall,senior,,하원로,29,,,,
33.2632342,126.4452549,회수,064- 738-3796,,2020-06-29,village_hall,senior,,중산간서로,656,,,,
33.260846,126.4106803,색달,064-738-3104,,2020-06-29,village_hall,senior,,색달로72번길,2,,,,
33.2487318,126.3905888,예래2통,064-738-2998,,2020-06-29,village_hall,senior,,예래로144번길,42,,,,
33.2656791,126.3770217,예래3통,064-738-2818,,2020-06-29,village_hall,senior,,존제로15번길,2,,,,
33.2434657,126.3861414,예래4통,064-738-2730,,2020-06-29,village_hall,senior,,하예로,1-3,,,,
33.2365993,126.37327,예래5통,064-738-3349,,2020-06-29,village_hall,senior,,예래로,416,,,,
33.2460109,126.392967,예래동,064-738-9350,,2020-06-29,village_hall,senior,,예래로,181-10,,,,
33.2649855,126.3925466,우남동,,,2020-06-29,village_hall,senior,,2번길,6,,,,
